Student_ID,Course_Grade_Point,Overall_Grade,Warning
10002853,6.2675,E3,
10002857,9.637,D3,
10002861,7.406,E2,
10002863,6.3595,E3,
10002864,2.944,G1,
10002866,4.002,F2,
10002869,13.719499999999998,C2,
10002871,6.693,E3,
10002891,7.6705,E2,
10002903,8.567499999999999,E1,
10002909,14.696999999999997,C1,
10002937,8.786,E1,
10002942,7.4635,E2,
10002953,13.420499999999999,C2,
10002954,12.604,C3,
10002959,6.7505,E3,
10002976,10.304,D2,
10002977,8.590499999999999,E1,
10002982,4.760999999999999,F2,
10002985,7.555499999999999,E2,
10002997,5.577499999999999,F1,
10003001,7.9925,E2,
10003051,8.049999999999999,E1,
10003086,3.1395,F3,
10003087,6.7044999999999995,E3,
10003094,13.777,C2,
10003097,10.959499999999998,D2,
