Academic_Year,Semester,Student_ID,Course_Code,Total_Sessions,Sessions_Attended,Attendance_Percentage,Attendance_Status
2022/23,Sem1,10002426,GS1001,20,14,73.2,Warning
2022/23,Sem1,10002426,GS1002,20,15,77.6,Warning
2022/23,Sem1,10002426,B1003,20,13,69.8,Warning
2022/23,Sem1,10002426,B1004,20,12,61.4,Warning
2022/23,Sem2,10002426,B1501,20,12,63.0,Warning
2022/23,Sem2,10002426,B1502,20,14,70.1,Warning
2022/23,Sem2,10002426,B1503,20,14,70.2,Warning
2022/23,Sem2,10002426,B1504,20,15,75.3,Warning
2022/23,Sem1,10002427,GS1001,20,20,100.0,Good
2022/23,Sem1,10002427,GS1002,20,19,98.8,Good
2022/23,Sem1,10002427,B1003,20,19,95.7,Good
2022/23,Sem1,10002427,B1004,20,18,92.4,Good
2022/23,Sem2,10002427,B1501,20,19,96.0,Good
2022/23,Sem2,10002427,B1502,20,19,99.4,Good
2022/23,Sem2,10002427,B1503,20,20,100.0,Good
2022/23,Sem2,10002427,B1504,20,18,92.0,Good
2022/23,Sem1,10002428,GS1001,20,13,69.7,Warning
2022/23,Sem1,10002428,GS1002,20,14,71.9,Warning
2022/23,Sem1,10002428,B1003,20,11,59.8,Concern
2022/23,Sem1,10002428,B1004,20,13,69.7,Warning
2022/23,Sem2,10002428,B1501,20,9,46.1,Concern
2022/23,Sem2,10002428,B1502,20,10,54.9,Concern
2022/23,Sem2,10002428,B1503,20,10,50.9,Concern
2022/23,Sem2,10002428,B1504,20,8,41.9,Concern
2022/23,Sem1,10002429,GS1001,20,19,95.5,Good
2022/23,Sem1,10002429,GS1002,20,19,96.1,Good
2022/23,Sem1,10002429,B1003,20,18,90.8,Good
2022/23,Sem1,10002429,B1004,20,19,98.0,Good
2022/23,Sem2,10002429,B1501,20,18,92.3,Good
2022/23,Sem2,10002429,B1502,20,16,84.3,Good
2022/23,Sem2,10002429,B1503,20,19,96.0,Good
2022/23,Sem2,10002429,B1504,20,18,94.9,Good
2022/23,Sem1,10002430,B3001,20,18,90.2,Good
2022/23,Sem1,10002430,B3002,20,17,89.8,Good
2022/23,Sem1,10002430,B3009,20,17,87.4,Good
2022/23,Sem1,10002430,B3010,20,19,99.4,Good
2022/23,Sem2,10002430,B3507,20,17,87.2,Good
2022/23,Sem2,10002430,B3508,20,17,86.7,Good
2022/23,Sem2,10002430,B3511,20,18,94.4,Good
2022/23,Sem2,10002430,B3512,20,19,96.7,Good
2022/23,Sem1,10002431,B2002,20,15,75.6,Warning
2022/23,Sem1,10002431,B2004,20,17,89.3,Good
2022/23,Sem1,10002431,B2006,20,15,79.9,Warning
2022/23,Sem1,10002431,B2007,20,15,78.8,Warning
2022/23,Sem2,10002431,B2501,20,17,85.2,Good
2022/23,Sem2,10002431,B2502,20,17,87.2,Good
2022/23,Sem2,10002431,B2503,20,18,91.1,Good
2022/23,Sem2,10002431,B2504,20,16,82.0,Good
2022/23,Sem1,10002432,GS1001,20,17,86.7,Good
2022/23,Sem1,10002432,GS1002,20,17,85.4,Good
2022/23,Sem1,10002432,B1003,20,18,91.2,Good
2022/23,Sem1,10002432,B1004,20,18,91.1,Good
2022/23,Sem2,10002432,B1501,20,16,83.2,Good
2022/23,Sem2,10002432,B1502,20,16,83.9,Good
2022/23,Sem2,10002432,B1503,20,18,92.2,Good
2022/23,Sem2,10002432,B1504,20,17,86.9,Good
2022/23,Sem1,10002433,GS1001,20,14,73.6,Warning
2022/23,Sem1,10002433,GS1002,20,14,72.3,Warning
2022/23,Sem1,10002433,B1003,20,15,76.6,Warning
2022/23,Sem1,10002433,B1004,20,15,78.1,Warning
2022/23,Sem2,10002433,B1501,20,13,68.0,Warning
2022/23,Sem2,10002433,B1502,20,14,72.1,Warning
2022/23,Sem2,10002433,B1503,20,13,67.9,Warning
2022/23,Sem2,10002433,B1504,20,16,84.6,Good
2022/23,Sem1,10002434,GS1001,20,16,84.7,Good
2022/23,Sem1,10002434,GS1002,20,15,78.6,Warning
2022/23,Sem1,10002434,B1003,20,18,90.4,Good
2022/23,Sem1,10002434,B1004,20,16,83.0,Good
2022/23,Sem2,10002434,B1501,20,17,86.5,Good
2022/23,Sem2,10002434,B1502,20,17,88.7,Good
2022/23,Sem2,10002434,B1503,20,16,83.5,Good
2022/23,Sem2,10002434,B1504,20,17,85.3,Good
2022/23,Sem1,10002435,B3001,20,16,82.4,Good
2022/23,Sem1,10002435,B3002,20,13,68.0,Warning
2022/23,Sem1,10002435,B3009,20,12,60.5,Warning
2022/23,Sem1,10002435,B3010,20,14,73.4,Warning
2022/23,Sem2,10002435,B3507,20,15,76.2,Warning
2022/23,Sem2,10002435,B3508,20,15,78.8,Warning
2022/23,Sem2,10002435,B3511,20,13,69.3,Warning
2022/23,Sem2,10002435,B3512,20,15,77.8,Warning
2022/23,Sem1,10002436,GS1001,20,10,50.6,Concern
