Academic_Year,Semester,Student_ID,Course_Code,Total_Sessions,Sessions_Attended,Attendance_Percentage,Attendance_Status
2024/25,Sem1,10003359,GS1001,20,17,89.0,Good
2024/25,Sem1,10003359,GS1002,20,16,81.5,Good
2024/25,Sem1,10003359,B1003,20,18,90.6,Good
2024/25,Sem1,10003359,B1004,20,16,84.6,Good
2024/25,Sem2,10003359,B1501,20,17,89.9,Good
2024/25,Sem2,10003359,B1502,20,16,81.7,Good
2024/25,Sem2,10003359,B1503,20,17,89.7,Good
2024/25,Sem2,10003359,B1504,20,17,88.1,Good
2024/25,Sem1,10003360,B2002,20,14,72.4,Warning
2024/25,Sem1,10003360,B2004,20,13,69.3,Warning
2024/25,Sem1,10003360,B2006,20,14,70.5,Warning
2024/25,Sem1,10003360,B2007,20,14,71.5,Warning
2024/25,Sem2,10003360,B2501,20,15,76.5,Warning
2024/25,Sem2,10003360,B2502,20,13,65.1,Warning
2024/25,Sem2,10003360,B2503,20,13,68.5,Warning
2024/25,Sem2,10003360,B2504,20,16,81.7,Good
2024/25,Sem1,10003361,GS1001,20,18,92.8,Good
2024/25,Sem1,10003361,GS1002,20,19,97.3,Good
2024/25,Sem1,10003361,B1003,20,19,96.0,Good
2024/25,Sem1,10003361,B1004,20,18,92.5,Good
2024/25,Sem2,10003361,B1501,20,19,97.3,Good
2024/25,Sem2,10003361,B1502,20,20,100.0,Good
2024/25,Sem2,10003361,B1503,20,19,95.7,Good
2024/25,Sem2,10003361,B1504,20,19,95.4,Good
2024/25,Sem1,10003362,GS1001,20,19,95.7,Good
2024/25,Sem1,10003362,GS1002,20,19,99.8,Good
2024/25,Sem1,10003362,B1003,20,18,90.3,Good
2024/25,Sem1,10003362,B1004,20,18,92.1,Good
2024/25,Sem2,10003362,B1501,20,19,96.8,Good
2024/25,Sem2,10003362,B1502,20,19,96.4,Good
2024/25,Sem2,10003362,B1503,20,19,97.3,Good
2024/25,Sem2,10003362,B1504,20,17,88.7,Good
2024/25,Sem1,10003363,GS1001,20,18,90.2,Good
2024/25,Sem1,10003363,GS1002,20,18,91.9,Good
2024/25,Sem1,10003363,B1003,20,17,88.0,Good
2024/25,Sem1,10003363,B1004,20,18,90.7,Good
2024/25,Sem2,10003363,B1501,20,17,88.4,Good
2024/25,Sem2,10003363,B1502,20,17,88.0,Good
2024/25,Sem2,10003363,B1503,20,19,95.3,Good
2024/25,Sem2,10003363,B1504,20,18,92.1,Good
2024/25,Sem1,10003364,GS1001,20,16,84.0,Good
