Student_ID,Course_Grade_Point,Overall_Grade,Warning
10002849,15.38,B3,
10002850,12.74,C3,
10002851,13.69,C2,
10002853,8.07,E1,
10002854,15.56,B3,
10002856,10.61,D2,
10002857,13.31,C2,
10002858,15.99,B3,
10002861,5.79,F1,
10002863,5.0,F1,
10002864,0.78,G2,
10002865,20.29,A3,
10002866,6.01,E3,
10002867,17.48,B1,
10002869,9.94,D3,
10002870,15.41,B3,
10002871,6.15,E3,
10002872,10.25,D2,
10002873,12.01,C3,
10002874,15.96,B3,
10002875,12.8,C3,
10002876,15.92,B3,
10002877,14.86,C1,
10002878,10.45,D2,
10002880,20.72,A3,
10002882,13.82,C2,
10002885,15.73,B3,
10002887,10.91,D2,
10002888,16.72,B2,
10002891,6.13,E3,
10002892,11.06,D1,
10002893,13.6,C2,
10002894,15.85,B3,
10002896,16.21,B2,
10002897,9.33,D3,
10002898,14.26,C1,
10002899,11.52,D1,
10002900,10.51,D2,
10002902,13.39,C2,
10002903,6.73,E3,
10002904,12.44,C3,
10002905,15.71,B3,
10002906,16.96,B2,
10002908,16.66,B2,
10002909,12.17,C3,
10002910,12.86,C3,
10002913,11.32,D1,
10002914,18.89,A5,
10002915,20.68,A3,
10002916,11.02,D1,
10002918,12.59,C3,
10002919,7.77,E2,
10002920,16.28,B2,
10002921,10.58,D2,
10002922,13.69,C2,
10002923,10.64,D2,
10002924,19.98,A4,
10002925,12.59,C3,
10002926,13.29,C2,
10002927,9.74,D3,
10002928,10.84,D2,
10002929,11.38,D1,
10002930,14.09,C1,
10002932,20.04,A3,
10002933,9.81,D3,
10002934,18.17,A5,
10002936,15.77,B3,
10002937,0.86,G2,
10002938,18.41,A5,
10002940,9.82,D3,
10002941,12.09,C3,
10002942,3.32,F3,
10002943,19.64,A4,
10002944,20.22,A3,
10002945,19.75,A4,
10002946,12.99,C3,
10002947,10.0,D2,
10002950,14.47,C1,
10002951,13.54,C2,
10002953,13.73,C2,
10002954,8.93,E1,
10002956,9.12,D3,
10002958,13.06,C2,
10002959,3.14,F3,
10002960,10.97,D2,
10002962,15.48,B3,
10002963,10.58,D2,
10002964,19.71,A4,
10002965,20.48,A3,
10002967,16.48,B2,
10002970,9.18,D3,
10002971,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002972,19.18,A4,
10002974,18.68,A5,
10002975,14.48,C1,
10002976,9.74,D3,
10002977,6.46,E3,
10002978,14.95,C1,
10002979,20.18,A3,
10002981,3.97,F3,
10002982,5.78,F1,
10002983,9.32,D3,
10002984,20.79,A3,
10002985,5.84,F1,
10002988,11.5,D1,
10002989,11.33,D1,
10002991,16.12,B2,
10002992,20.37,A3,
10002993,16.19,B2,
10002997,4.35,F2,
10002998,16.83,B2,
10002999,7.99,E2,
10003000,20.48,A3,
10003001,9.51,D3,
10003002,10.95,D2,
10003005,20.06,A3,
10003007,9.97,D3,
10003008,17.06,B1,
10003009,10.8,D2,
10003011,14.01,C1,
10003077,14.46,C1,
10003078,12.43,C3,
10003079,5.47,F1,
10003081,20.85,A3,
10003083,1.73,G1,
10003084,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10003085,14.35,C1,
10003086,6.74,E3,
10003087,5.17,F1,
10003088,16.18,B2,
10003089,9.54,D3,
10003090,15.39,B3,
10003091,13.41,C2,
10003094,12.8,C3,
10003097,10.93,D2,
10003100,8.57,E1,
10003103,14.04,C1,
10003104,8.87,E1,
10003105,17.03,B1,
10003107,10.79,D2,
10003108,10.36,D2,
10003110,17.42,B1,
10003111,12.98,C3,
10003112,12.64,C3,
10003116,11.31,D1,
10003117,19.02,A4,
