Student_ID,Course_Grade_Point,Overall_Grade,Warning
10000001,9.57,D3,
10000002,19.95,A4,
10000003,15.68,B3,
10000004,14.34,C1,
10000005,8.27,E1,
10000007,4.16,F2,
10000009,14.85,C1,
10000010,20.2,A3,
10000012,9.18,D3,
10000013,19.96,A4,
10000015,10.18,D2,
10000016,11.91,D1,
10000017,15.64,B3,
10000020,20.03,A3,
10000021,13.74,C2,
10000024,13.61,C2,
10000026,16.57,B2,
10000027,20.14,A3,
10000028,20.03,A3,
10000029,13.42,C2,
10000030,10.9,D2,
10000031,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000032,10.78,D2,
10000033,12.37,C3,
10000034,10.23,D2,
10000035,13.85,C2,
10000036,11.17,D1,
10000037,11.23,D1,
10000038,11.65,D1,
10000039,3.0,F3,
10000041,8.59,E1,
10000043,14.55,C1,
10000044,16.13,B2,
10000045,18.71,A5,
10000046,16.11,B2,
10000048,16.21,B2,
10000049,12.94,C3,
10000050,13.89,C2,
10000051,16.85,B2,
10000052,13.39,C2,
10000053,15.17,B3,
10000054,7.51,E2,
10000055,12.13,C3,
10000056,10.75,D2,
10000057,15.07,B3,
10000058,10.81,D2,
10000059,14.61,C1,
10000060,14.05,C1,
10000061,5.89,F1,
10000062,10.46,D2,
10000064,11.85,D1,
10000065,10.84,D2,
10000066,10.23,D2,
10000067,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000068,20.51,A3,
10000069,15.08,B3,
10000072,4.91,F2,
10000073,3.64,F3,
10000074,16.9,B2,
10000075,11.22,D1,
10000078,15.98,B3,
10000079,13.7,C2,
10000080,13.62,C2,
